days,miles,receipts,output
8,1118.0,1758.52,1852.47
8,1064.0,1756.52,1857.04
6,811.0,1252.04,1771.8
7,889.0,1417.96,1826.08
9,1012.0,1429.04,1880.76
6,909.0,1332.18,1720.21
9,1096.0,1690.22,1894.85
9,913.0,1021.29,1964.86
6,1006.0,1219.71,1803.97
6,907.0,1650.17,1737.86
9,816.0,1171.81,1780.58
7,1006.0,1181.33,2279.82
6,835.0,1404.28,1765.79
12,528.0,2476.41,1662.88
4,69.0,2321.49,322.0
11,1179.0,31.36,1550.55
13,756.0,954.4,1793.07
1,123.0,2076.65,1171.68
3,1162.0,2152.66,1434.71
1,822.0,2170.53,1374.91
11,558.0,1549.86,1823.47
2,753.0,1111.16,1353.87
10,224.0,407.51,794.7
6,383.0,462.79,800.3
8,1005.0,1391.37,1987.39
10,1145.0,311.43,1366.61
5,1004.0,2367.63,1743.85
5,873.0,1402.35,1676.79
2,165.0,1813.32,1273.45
5,1076.0,190.33,879.65
12,986.0,2390.92,1760.0
7,948.0,657.17,1578.97
3,429.0,2400.13,1411.95
4,362.0,646.43,788.53
2,622.0,1871.56,1494.23
1,140.0,255.99,150.34
8,123.0,612.55,851.24
4,87.0,2463.92,1413.52
10,164.0,1144.9,1516.43
1,989.0,2196.84,1439.17
4,470.0,1968.63,1501.1
1,37.0,1397.17,1092.94
8,488.0,439.7,1030.13
12,757.0,897.4,1780.07
14,958.0,1727.76,2065.16
2,456.0,2390.7,1342.39
5,733.0,41.18,771.83
5,291.0,1279.7,1477.12
10,478.0,2091.79,1568.41
8,817.0,1455.73,1847.26
6,1043.0,1404.35,1807.42
2,958.0,1855.58,1549.54
9,524.0,474.75,935.4
6,45.0,81.59,522.58
8,342.0,2259.06,1502.02
12,379.0,1897.29,1682.98
6,333.0,1254.68,1585.02
2,634.0,1739.81,1490.51
5,285.0,974.73,1282.84
12,33.0,1249.13,1707.38
9,118.0,1285.82,1539.77
1,420.0,2273.6,1220.35
11,312.0,2072.39,1586.22
10,753.0,2054.02,1779.08
5,125.0,96.38,570.99
6,597.0,888.84,1395.65
12,1065.0,203.2,1408.25
1,214.0,540.03,402.81
11,886.0,922.66,1852.24
10,621.0,978.73,1656.28
4,1000.0,2355.34,1699.56
13,534.0,1765.96,1881.36
6,475.0,1800.71,1671.23
11,623.0,2265.21,1739.18
1,620.0,973.91,1112.02
13,1004.0,1757.75,1960.67
8,962.0,1929.63,1897.19
14,516.0,1464.67,1842.1
11,685.0,2272.75,1873.94
3,307.0,266.21,540.97
3,375.0,1346.21,1339.93
4,1124.0,2177.18,1567.43
3,779.0,2110.9,1520.73
8,1173.0,671.25,1419.34
14,47.0,1667.14,1745.18
3,981.0,2008.83,1539.47
5,516.0,1450.67,1547.5
6,471.0,332.51,872.19
2,941.0,1565.77,1432.79
10,377.0,301.96,837.36
7,273.0,285.83,793.58
1,458.0,834.7,737.28
11,772.0,932.31,1575.52
11,36.0,1541.47,1593.24
12,211.0,1048.29,1579.73
7,987.0,2164.1,1839.67
9,662.0,2275.59,1599.27
12,96.0,1164.37,1553.21
5,569.0,1856.7,1623.81
12,128.0,477.17,874.99
4,886.0,2401.28,1698.0
13,19.0,807.27,1331.53
8,275.0,2347.09,1454.47
9,963.0,588.5,1434.42
14,1056.0,2489.69,1894.16
5,728.0,423.16,947.72
4,286.0,1063.49,418.17
11,332.0,1352.48,1663.39
12,49.0,1118.38,1494.81
2,18.0,2503.46,1206.95
14,592.0,1268.36,1930.24
3,892.0,171.32,875.39
11,741.0,1872.39,1847.08
14,807.0,2358.41,1819.41
5,873.0,1584.53,1796.7
3,1159.0,2209.44,1434.84
11,920.0,1338.65,1871.27
1,388.0,390.7,332.06
9,576.0,1059.79,1547.5
9,524.0,2367.12,1640.78
10,459.0,2183.11,1559.59
4,725.0,588.9,1097.95
1,992.0,958.87,1222.41
10,536.0,2194.42,1615.13
11,1126.0,1593.03,2143.74
10,314.0,1098.8,1539.1
1,9.0,2246.28,1120.22
11,706.0,1508.23,2030.59
10,976.0,2166.02,1775.03
5,1028.0,653.19,1313.95
8,1166.0,99.47,1149.07
12,882.0,1958.14,1944.88
11,448.0,732.79,1090.35
7,623.0,1691.39,1800.86
3,127.0,293.49,303.2
12,218.0,486.02,1005.67
3,1166.0,530.44,785.59
11,17.0,550.58,830.07
9,696.0,1749.97,1649.49
4,305.0,125.79,664.43
12,104.0,1300.05,1779.92
1,303.0,931.53,857.42
8,1012.0,2390.84,1732.12
9,938.0,2224.29,1913.87
3,471.0,288.19,535.67
5,72.0,977.67,1156.55
10,160.0,2272.56,1642.15
10,965.0,1851.28,1805.77
3,266.0,2178.16,1447.95
12,734.0,2491.82,1792.31
12,64.0,1641.01,1710.72
9,497.0,1845.08,1674.09
3,781.0,1801.38,1586.21
3,158.0,1070.74,1183.16
3,1096.0,200.27,802.96
11,1116.0,2067.8,1987.44
10,831.0,39.86,982.64
14,124.0,1064.64,1761.68
4,10.0,1262.73,1261.41
5,955.0,106.86,897.78
7,1176.0,2489.13,1921.16
6,803.0,465.6,1012.0
9,868.0,62.12,1022.81
1,181.0,128.05,225.12
3,70.0,631.88,564.16
8,1090.0,419.76,1189.47
14,1184.0,2269.89,1943.24
1,735.0,1676.9,1365.21
2,547.0,119.09,509.52
11,265.0,218.66,949.34
10,223.0,886.32,1305.54
12,959.0,1947.82,1833.24
11,498.0,1578.39,1793.52
14,127.0,988.4,1688.9
3,621.0,214.08,779.66
6,1193.0,2241.5,1839.47
4,448.0,2055.97,1497.46
8,466.0,2064.63,1558.12
12,229.0,1216.16,1696.65
13,658.0,559.48,1573.12
13,1034.0,2477.98,1842.24
4,842.0,2464.29,1611.66
13,837.0,1218.93,1921.68
11,927.0,1306.37,1804.68
4,1047.0,1657.68,1605.84
4,262.0,1681.28,1435.34
7,1126.0,1103.75,2014.72
5,781.0,672.91,1125.36
5,831.0,591.65,1090.31
7,1089.0,1026.25,2132.85
1,793.0,2171.07,1421.36
9,368.0,495.12,847.33
6,818.0,1130.38,1704.06
11,667.0,1915.95,1732.2
2,267.0,2116.93,1349.04
10,1083.0,2105.36,1844.58
13,529.0,1767.79,2015.18
9,1155.0,1346.4,2248.12
7,1185.0,1768.01,2072.18
5,763.0,1420.94,1777.14
7,368.0,1231.69,1550.04
6,659.0,322.1,972.58
14,1138.0,518.18,1696.86
6,172.0,1977.78,1603.89
6,628.0,311.47,903.3
2,500.0,1246.48,1264.53
8,7.0,2075.6,1422.12
5,942.0,2092.87,1696.72
12,81.0,2485.34,1589.65
4,166.0,791.52,866.18
3,213.0,1724.85,1344.71
11,1004.0,167.15,1175.65
5,116.0,478.1,624.04
13,112.0,2299.56,1807.67
1,43.0,2149.22,1134.47
2,660.0,1944.4,1531.2
10,888.0,298.68,1171.54
10,860.0,2380.76,1759.97
10,1187.0,1981.09,2013.21
12,1139.0,124.65,1314.3
5,966.0,359.51,927.98
10,796.0,1352.08,2000.19
9,72.0,1281.32,1515.54
10,215.0,2440.91,1638.66
7,671.0,1297.02,1703.2
5,230.0,333.69,538.36
5,467.0,1243.31,1549.82
13,247.0,2339.61,1705.9
14,777.0,1248.61,1837.25
11,740.0,1171.99,902.09
6,884.0,1798.31,1897.87
5,789.0,1853.31,1792.88
4,825.0,874.99,784.52
2,301.0,769.23,731.28
12,1007.0,1353.77,1925.32
5,865.0,644.79,1202.46
14,81.0,1251.97,1682.62
8,1159.0,2175.27,1752.18
11,496.0,373.98,1152.99
1,752.0,1632.35,1362.39
5,1014.0,1853.57,1749.31
9,686.0,145.66,972.95
5,654.0,1272.89,1724.68
8,621.0,2391.34,1593.12
9,1080.0,539.51,1306.91
10,714.0,269.06,1067.81
10,816.0,1425.64,1872.81
14,1122.0,1766.25,2239.35
4,1202.0,1074.87,1501.24
5,651.0,1573.3,1682.08
14,1100.0,237.69,1265.57
14,296.0,485.68,924.9
1,697.0,2148.5,1421.07
6,1044.0,47.46,1133.45
12,398.0,2481.44,1755.18
3,139.0,2428.89,1345.66
6,84.0,852.7,1109.32
2,423.0,1639.17,1367.64
11,815.0,2385.6,1872.44
6,577.0,897.74,1257.31
8,200.0,1508.89,1461.33
9,1102.0,540.6,1455.85
12,508.0,1970.54,1770.91
13,1024.0,1712.85,2097.69
7,1161.0,1499.97,1862.45
2,730.0,285.24,624.78
13,996.0,1809.2,1956.89
5,1160.0,1901.83,1673.89
2,1139.0,306.43,726.14
14,191.0,2442.76,1798.47
7,776.0,2447.82,1826.93
14,414.0,1919.7,1918.89
7,847.0,1994.62,1851.7
6,924.0,1227.21,1871.76
2,933.0,1589.58,1489.99
1,211.0,958.08,891.9
10,773.0,865.92,1837.11
3,196.0,1211.68,1229.87
14,49.0,954.02,1480.87
5,477.0,655.24,935.38
5,828.0,1606.84,1690.82
11,458.0,1364.29,1649.04
3,289.0,1245.67,1279.31
1,1060.0,501.67,658.14
5,1085.0,2486.43,1664.83
4,675.0,381.48,779.68
8,415.0,1214.97,1473.75
6,425.0,709.75,1114.9
7,313.0,2408.02,1637.65
13,235.0,426.07,897.26
7,635.0,1406.31,1630.66
10,1009.0,2164.22,1889.87
3,692.0,450.7,748.57
2,91.0,1073.76,1013.78
8,1187.0,1045.91,2047.06
14,600.0,1120.05,1847.84
5,210.0,710.49,483.34
12,10.0,1203.1,1564.9
1,452.0,275.05,282.89
4,256.0,2218.74,1476.03
8,312.0,2383.17,1557.27
2,1175.0,816.2,1237.62
11,960.0,383.64,1248.46
6,690.0,1009.37,1559.83
14,487.0,579.29,1516.68
8,75.0,315.71,593.83
13,360.0,271.93,1017.64
11,708.0,1871.77,1916.37
3,182.0,347.82,384.77
10,683.0,2442.92,1643.68
5,392.0,1264.6,1465.72
10,175.0,1443.25,1635.5
7,577.0,1959.13,1603.6
13,799.0,951.92,1793.36
13,608.0,370.89,1170.54
7,194.0,202.49,686.23
13,889.0,232.72,1394.38
7,901.0,136.8,1222.6
1,698.0,1525.82,1398.75
9,592.0,793.55,1235.69
14,1015.0,871.76,1846.41
9,524.0,136.46,848.89
5,781.0,2114.27,1789.85
3,200.0,58.24,494.63
5,503.0,2335.55,1649.42
11,667.0,2221.67,1872.89
7,336.0,1843.58,1691.68
4,217.0,1506.46,1455.37
8,207.0,1146.93,1479.01
7,690.0,1807.71,1710.98
2,251.0,1916.43,1285.2
4,627.0,956.98,1337.63
1,432.0,581.71,448.34
4,1194.0,2250.51,1691.15
10,64.0,455.9,774.64
8,15.0,377.85,657.8
11,741.0,1207.39,1878.06
8,638.0,1007.48,1483.06
12,965.0,1700.28,1879.09
8,1182.0,990.07,1840.75
13,1062.0,869.28,2090.54
1,754.0,1220.47,1346.14
14,767.0,186.47,1292.77
11,775.0,1752.23,1809.29
8,592.0,1402.98,1561.41
6,957.0,727.75,1448.72
9,800.0,2167.72,1726.51
6,1198.0,222.6,1107.96
3,1092.0,1737.65,1462.01
12,958.0,2499.84,1791.69
11,955.0,1282.19,2000.42
11,605.0,1880.69,1711.55
7,670.0,1558.02,1702.81
11,844.0,1962.77,1787.57
3,718.0,1158.02,1416.98
6,323.0,1477.23,1608.55
14,616.0,2374.41,1828.37
8,752.0,1519.78,1662.92
1,1166.0,1423.69,1412.13
3,1187.0,1632.14,1451.85
3,1013.0,166.52,711.07
5,741.0,429.24,951.92
14,467.0,2176.26,1809.83
3,224.0,358.77,406.36
3,712.0,512.23,751.16
12,218.0,901.03,1371.86
6,373.0,587.38,956.61
8,562.0,2479.33,1478.31
5,132.0,2387.03,1454.05
3,98.0,871.46,866.05
14,545.0,1206.76,1977.89
1,869.0,1498.88,1398.94
2,875.0,393.25,640.56
8,888.0,2296.07,1718.71
1,716.0,1396.41,1376.59
8,1025.0,1031.33,2214.64
9,1064.0,2016.76,1810.94
4,463.0,1963.41,1607.34
1,678.0,1478.57,1370.31
1,436.0,1358.14,1154.03
5,586.0,2135.36,1661.61
1,797.0,126.8,543.18
14,481.0,939.99,877.17
7,172.0,1486.86,1557.94
10,1192.0,23.47,1157.87
7,981.0,658.85,1351.69
10,692.0,1671.71,1701.23
13,710.0,2223.86,1979.83
12,380.0,1526.79,1787.41
3,133.0,1728.5,1373.4
4,730.0,799.25,1250.66
12,1070.0,1055.51,2030.76
8,1185.0,554.98,1545.67
11,456.0,2223.72,1600.1
12,85.0,1056.43,1466.31
2,543.0,103.37,544.12
6,367.0,1947.68,1606.76
1,481.0,1792.17,1215.84
5,233.0,1862.04,1562.23
1,45.0,1070.22,922.69
5,152.0,2444.81,1523.75
7,344.0,1242.05,1514.4
5,320.0,1584.55,1584.73
9,989.0,378.12,1193.72
10,57.0,936.89,1237.07
12,342.0,2253.61,1659.5
2,983.0,2109.93,1519.98
10,886.0,1990.03,1749.93
10,5.0,836.86,1116.56
3,80.0,517.54,457.49
8,482.0,1411.49,631.81
4,11.0,312.01,426.22
12,1075.0,2328.11,1798.38
13,632.0,268.91,1396.28
8,323.0,46.48,703.45
11,527.0,1550.32,1806.06
5,948.0,898.6,1499.68
5,504.0,1502.63,1628.66
10,793.0,1422.29,2007.62
13,32.0,232.43,805.12
9,768.0,1815.6,1666.18
9,994.0,1742.62,1849.58
1,1105.0,1432.3,1387.17
12,178.0,507.59,907.19
10,472.0,431.95,924.65
5,716.0,1111.23,1492.08
3,771.0,725.67,1166.93
13,1054.0,1131.25,2162.03
10,872.0,2191.27,1776.62
12,1077.0,32.55,1387.43
12,211.0,749.56,1285.23
4,199.0,1310.01,1400.57
2,1029.0,1702.6,1577.55
10,643.0,2263.77,1685.92
10,797.0,1706.73,1724.42
12,657.0,322.5,1113.16
8,177.0,486.06,751.58
2,222.0,456.24,437.4
3,555.0,2342.76,1458.63
2,785.0,1964.63,1522.76
5,104.0,281.67,464.68
1,673.0,2026.16,1372.83
10,877.0,1711.12,1897.37
1,250.0,1300.17,1145.33
1,467.0,296.49,221.23
10,1026.0,828.82,1865.67
11,1106.0,2250.54,2050.62
12,452.0,816.56,1243.1
14,865.0,2497.16,1885.87
8,107.0,2450.89,1468.19
8,80.0,1092.18,1365.73
8,945.0,766.98,1625.53
13,1140.0,1607.8,2214.64
2,636.0,1438.19,1435.96
14,865.0,1422.11,1921.18
12,482.0,1710.47,1746.74
2,68.0,756.61,648.53
14,512.0,526.84,1306.64
14,1001.0,1647.24,2080.0
1,547.0,573.6,616.27
10,5.0,1338.9,1610.25
3,1158.0,1107.4,1361.3
1,993.0,1143.58,1328.85
6,378.0,837.63,1215.96
11,1156.0,2231.86,1988.56
5,1050.0,882.86,1430.04
8,836.0,735.52,1606.63
11,654.0,1516.42,1870.43
8,633.0,1308.36,1639.12
12,713.0,1642.01,1873.19
5,96.0,1105.47,1312.16
7,1054.0,576.47,1344.18
12,495.0,1948.13,1831.92
1,1068.0,2011.28,1421.45
7,1000.0,1620.46,1971.23
13,855.0,1798.75,1951.77
8,544.0,1279.51,1483.77
11,816.0,544.99,1077.12
5,1080.0,2383.82,1664.76
8,1124.0,1908.69,1833.27
3,29.0,1632.85,1269.1
6,470.0,2235.72,1628.6
7,287.0,2293.5,1558.09
4,72.0,1367.29,1302.97
6,344.0,233.31,800.18
8,801.0,1241.21,1780.65
5,629.0,484.34,1029.87
11,327.0,961.08,1356.46
14,94.0,105.94,1180.63
4,1113.0,2103.82,1695.08
14,267.0,2090.21,1968.4
1,979.0,1292.54,1313.53
10,625.0,519.94,1229.41
14,457.0,848.61,1492.64
11,398.0,723.39,1154.77
14,68.0,438.96,866.76
3,769.0,2497.93,1587.8
13,694.0,1054.31,1815.02
12,1088.0,1977.91,1883.21
9,101.0,950.23,1281.64
1,170.0,2452.85,1209.08
12,1135.0,475.95,1447.39
3,1109.0,2092.26,1436.66
7,753.0,358.13,1084.79
2,521.0,467.19,667.85
12,1003.0,983.23,1996.18
3,269.0,708.05,799.12
14,646.0,2418.19,1931.21
14,1153.0,346.58,1292.93
4,18.0,289.06,380.88
13,1167.0,1074.36,2197.33
1,1113.0,1536.0,1403.6
6,930.0,1907.95,1788.75
5,714.0,617.72,1164.2
7,256.0,2180.53,1548.87
9,1063.0,2497.79,1761.94
11,512.0,2016.19,1710.53
9,463.0,1024.53,1476.48
12,714.0,2003.23,1829.06
9,1165.0,1868.79,1945.95
1,872.0,2420.07,1456.34
10,631.0,1220.71,1730.86
9,633.0,888.17,1384.78
4,1065.0,119.34,781.82
12,947.0,193.05,1225.63
4,159.0,568.58,647.0
1,292.0,449.83,363.02
1,1115.0,926.13,1192.88
7,1168.0,667.94,1639.55
4,348.0,2047.08,1507.04
8,77.0,1930.98,1485.69
7,1033.0,1013.03,2119.83
4,672.0,1603.52,1612.43
4,1191.0,999.45,1478.93
8,392.0,661.27,978.13
7,951.0,584.4,1253.76
5,778.0,2423.47,1643.96
11,958.0,1999.13,1900.18
3,186.0,1068.31,1152.04
5,1116.0,2460.46,1711.97
13,63.0,107.92,710.25
6,170.0,476.99,600.23
3,870.0,413.23,795.8
12,852.0,1957.9,1944.89
6,420.0,386.77,929.16
6,668.0,1922.45,1796.98
8,795.0,1645.99,644.69
4,420.0,927.74,1238.04
12,1074.0,2407.71,1843.97
12,916.0,2394.85,1740.85
4,1075.0,586.17,1023.65
5,1143.0,1217.72,1745.09
2,719.0,591.44,755.3
4,197.0,1858.84,1416.33
6,248.0,395.4,710.15
10,834.0,1820.8,1883.49
1,1112.0,2011.44,1423.85
12,1189.0,1453.16,2162.13
14,269.0,1349.61,1832.34
7,671.0,1262.85,1600.42
9,52.0,350.58,601.81
14,976.0,1526.58,1995.87
2,370.0,1554.5,1311.23
4,1180.0,1948.55,1565.16
5,36.0,2022.94,1410.58
5,691.0,1030.64,1465.26
8,52.0,2353.5,1485.05
11,24.0,2029.04,1569.37
8,221.0,936.98,1287.0
1,85.0,89.83,175.53
7,803.0,12.75,1146.78
12,893.0,910.41,1862.13
14,113.0,1091.13,1703.02
5,516.0,1878.49,669.85
14,904.0,2005.96,1970.01
1,1058.0,1601.04,1465.9
14,555.0,313.73,1201.26
7,738.0,730.28,1429.72
8,792.0,2437.24,1556.7
5,831.0,432.8,901.36
7,709.0,320.8,1116.62
9,1078.0,161.85,1260.96
2,616.0,968.93,1163.1
2,570.0,2297.12,1423.86
9,13.0,986.41,1271.52
7,381.0,2106.96,1705.27
9,460.0,2424.47,1624.68
4,425.0,1286.54,1449.26
11,437.0,1053.24,1630.47
9,1000.0,1901.79,1778.65
1,553.0,1687.11,1295.34
10,5.0,1094.06,1361.08
12,931.0,864.21,1663.58
6,436.0,914.53,1389.11
3,1074.0,247.32,636.02
9,896.0,1398.54,1727.1
1,462.0,2047.57,1202.9
3,665.0,2418.16,1490.96
11,532.0,2419.86,1653.69
9,483.0,52.64,949.04
12,296.0,326.83,981.72
9,131.0,1990.0,1557.2
6,836.0,2035.17,1718.79
10,532.0,1223.36,1631.49
14,595.0,2140.61,1989.13
7,623.0,1894.02,1739.49
5,1077.0,2234.35,1665.23
5,579.0,1018.52,1468.01
8,255.0,1817.19,1510.91
8,1009.0,1378.07,1903.76
10,87.0,498.96,781.97
1,809.0,1734.56,1447.25
9,1079.0,1981.94,1763.16
8,1134.0,1049.84,2073.13
8,403.0,654.97,895.14
8,534.0,429.88,916.02
13,564.0,2245.56,1745.09
2,752.0,958.29,1144.41
11,293.0,1410.0,1673.7
5,919.0,470.23,1119.17
5,103.0,333.22,573.58
1,893.0,19.76,570.71
12,37.0,52.65,789.01
8,1142.0,776.74,1827.44
5,332.0,218.03,801.73
7,950.0,1739.62,2032.23
9,223.0,1916.03,1623.73
6,522.0,1210.87,1577.01
12,46.0,2077.07,1666.29
2,252.0,1545.94,1300.19
14,999.0,619.42,1510.57
13,125.0,2004.61,1721.56
9,597.0,625.99,990.84
3,289.0,853.79,969.85
7,953.0,1918.24,1833.56
4,275.0,2359.64,1483.58
5,755.0,1584.41,1729.08
9,803.0,880.17,1589.75
11,293.0,285.14,966.87
6,164.0,1460.21,1535.3
12,675.0,2277.93,1807.33
11,859.0,146.71,1267.98
2,296.0,1878.7,1354.0
7,300.0,2417.85,1634.04
2,1155.0,1517.18,1543.17
5,765.0,480.48,1038.42
9,1097.0,2330.2,1728.07
4,422.0,2049.71,1491.9
14,1020.0,510.33,1406.95
4,205.0,545.57,682.22
12,1046.0,1850.85,1875.72
4,1001.0,739.08,1116.31
9,938.0,742.17,1632.1
5,351.0,407.74,883.11
9,748.0,653.42,1249.66
13,1186.0,2462.26,1906.35
6,384.0,1656.04,1682.33
10,150.0,418.41,844.9
10,783.0,158.93,993.55
6,372.0,2494.69,1742.34
10,958.0,1643.76,1827.18
8,34.0,1225.2,1438.52
7,151.0,2461.93,1516.58
7,150.0,1379.35,1500.09
6,751.0,2085.98,1757.81
7,568.0,159.12,738.92
12,574.0,2240.9,1785.72
13,36.0,808.38,1190.16
14,595.0,1818.77,1889.9
7,381.0,2342.27,1705.24
14,174.0,815.3,1295.14
11,226.0,2013.45,1590.82
13,137.0,1505.66,1777.72
13,774.0,206.45,1110.0
5,1120.0,1514.91,1658.97
4,862.0,2335.55,1698.94
8,829.0,1147.89,2004.34
4,380.0,446.66,764.24
9,238.0,1197.83,1560.78
13,1199.0,493.0,1634.13
12,710.0,1249.41,1921.09
14,719.0,1973.14,1980.99
1,482.0,1697.08,1198.24
9,444.0,725.31,1062.52
11,610.0,1990.79,1753.56
4,238.0,1707.28,1483.48
2,299.0,1612.7,1282.8
10,273.0,799.9,1155.05
3,154.0,274.04,406.91
7,636.0,697.02,1276.06
2,1038.0,685.07,962.14
2,798.0,2334.41,1485.4
12,601.0,2166.56,1918.46
6,290.0,814.04,1077.35
8,16.0,259.02,543.56
8,303.0,1072.44,1453.25
11,372.0,2048.26,1632.61
3,864.0,2338.52,1513.04
11,913.0,2253.41,1758.56
14,805.0,834.06,1683.49
5,905.0,2317.31,1691.38
10,728.0,226.53,1060.47
4,842.0,893.25,1324.64
5,117.0,953.06,1116.8
12,307.0,957.17,1432.75
9,51.0,314.81,704.94
7,1071.0,841.11,1699.9
13,922.0,1510.22,1967.87
8,867.0,2373.39,1747.22
11,1013.0,1483.3,1952.8
6,1148.0,1525.81,1776.48
12,158.0,2195.67,1625.46
5,1010.0,2054.21,1810.37
1,682.0,1517.04,1376.04
5,14.0,78.33,406.7
6,1203.0,1900.48,1972.88
4,810.0,1852.31,1575.87
3,760.0,2073.25,1522.45
7,868.0,625.09,1403.48
7,205.0,103.31,683.1
5,387.0,1882.35,1588.8
11,447.0,130.07,852.02
9,482.0,1348.44,1633.26
7,15.0,2436.67,1459.63
10,955.0,1182.33,1950.3
5,41.0,2314.68,1500.28
2,1189.0,1164.74,1666.52
2,762.0,519.74,752.69
10,895.0,937.46,1714.8
13,858.0,2258.01,1889.71
11,650.0,524.8,1179.09
4,198.0,2106.63,1450.67
1,791.0,1927.75,1419.88
14,1020.0,1201.75,2337.73
12,59.0,2247.39,1629.92
8,626.0,545.84,1142.89
5,57.0,559.05,639.73
5,908.0,716.7,1375.88
13,8.0,78.44,713.71
11,684.0,672.51,1487.93
4,180.0,2365.46,1443.02
13,511.0,1628.33,1915.79
4,231.0,20.39,499.26
9,1139.0,1973.31,1759.33
9,578.0,1167.71,1587.21
14,530.0,2028.06,2079.14
7,316.0,141.89,837.8
2,897.0,2382.39,1437.95
12,121.0,608.92,1033.44
4,764.0,1417.94,1682.1
11,663.0,2141.08,1715.29
3,91.0,1640.15,1338.3
1,1035.0,1289.84,1317.33
7,125.0,193.62,616.24
12,437.0,639.96,1183.74
4,84.0,2243.12,1392.1
5,716.0,1316.6,1686.98
12,18.0,2461.37,1556.78
3,560.0,1664.15,1419.48
3,504.0,63.39,568.17
5,1126.0,664.9,1336.74
1,1092.0,390.55,589.11
11,273.0,502.37,862.61
4,6.0,458.7,459.21
1,620.0,490.45,678.74
