days,miles,receipts,output,output_rounded,efficiency,spending_per_day
1,606.0,923.0,1050.05,1050.0,606.0,923.0
1,909.0,741.82,866.07,866.0,909.0,741.82
3,624.0,1160.92,1459.34,1459.0,208.0,386.97333333333336
4,650.0,619.49,676.38,676.0,162.5,154.8725
6,204.0,818.99,628.4,628.0,34.0,136.49833333333333
1,263.0,396.49,198.42,198.0,263.0,396.49
1,451.0,555.49,162.18,162.0,451.0,555.49
10,424.0,474.99,831.96,832.0,42.4,47.499
2,565.0,389.49,415.96,416.0,282.5,194.745
9,397.0,348.49,913.29,913.0,44.111111111111114,38.721111111111114
1,532.0,413.99,355.57,356.0,532.0,413.99
2,384.0,495.49,290.36,290.0,192.0,247.745
5,754.0,489.99,765.13,765.0,150.8,97.998
1,344.46,813.85,707.88,708.0,344.46,813.85
3,906.3,540.03,848.42,848.0,302.09999999999997,180.01
3,1007.56,187.52,764.64,765.0,335.8533333333333,62.50666666666667
1,359.62,221.15,255.57,256.0,359.62,221.15
1,362.79,749.19,636.51,637.0,362.79,749.19
1,288.72,159.26,303.94,304.0,288.72,159.26
2,782.17,830.72,1165.44,1165.0,391.085,415.36
2,623.18,347.54,625.15,625.0,311.59,173.77
3,1061.15,388.5,693.36,693.0,353.7166666666667,129.5
1,252.75,285.5,331.74,332.0,252.75,285.5
3,1020.39,250.62,779.08,779.0,340.13,83.54
1,257.97,816.81,738.01,738.0,257.97,816.81
3,1025.03,592.55,992.4,992.0,341.6766666666667,197.51666666666665
2,794.32,402.31,671.06,671.0,397.16,201.155
1,276.85,485.54,361.66,362.0,276.85,485.54
2,851.68,473.96,650.68,651.0,425.84,236.98
3,859.12,611.07,960.47,960.0,286.37333333333333,203.69000000000003
3,1317.07,476.87,787.42,787.0,439.0233333333333,158.95666666666668
1,388.1,827.37,741.46,741.0,388.1,827.37
1,264.39,758.27,636.19,636.0,264.39,758.27
5,198.21,594.83,807.48,807.0,39.642,118.96600000000001
6,72.85,457.75,666.59,667.0,12.141666666666666,76.29166666666667
8,297.64,481.09,835.08,835.0,37.205,60.13625
7,237.33,1262.27,1452.17,1452.0,33.90428571428571,180.3242857142857
5,195.73,1228.49,511.23,511.0,39.146,245.698
8,276.28,1179.9,1522.6,1523.0,34.535,147.4875
8,302.24,1046.04,1353.77,1354.0,37.78,130.755
8,266.87,252.08,880.41,880.0,33.35875,31.51
9,310.69,239.64,828.16,828.0,34.52111111111111,26.626666666666665
6,222.08,709.07,1031.34,1031.0,37.013333333333335,118.17833333333334
8,264.94,720.67,1019.85,1020.0,33.1175,90.08375
8,161.15,1230.37,1499.24,1499.0,20.14375,153.79625
9,259.96,554.74,835.54,836.0,28.88444444444444,61.63777777777778
9,97.85,518.56,850.57,851.0,10.872222222222222,57.617777777777775
9,194.34,1054.93,1374.9,1375.0,21.593333333333334,117.21444444444445
9,332.35,374.61,830.45,830.0,36.92777777777778,41.623333333333335
5,126.44,696.14,845.35,845.0,25.288,139.228
5,66.13,848.03,1050.25,1050.0,13.225999999999999,169.606
6,135.34,1144.13,1478.11,1478.0,22.55666666666667,190.68833333333336
6,233.7,346.98,648.57,649.0,38.949999999999996,57.830000000000005
9,849.0,1007.41,1785.47,1785.0,94.33333333333333,111.93444444444444
6,806.0,1760.64,1718.76,1719.0,134.33333333333334,293.44
8,891.0,1194.36,2016.46,2016.0,111.375,149.295
9,1182.0,1342.24,2164.15,2164.0,131.33333333333334,149.13777777777779
7,1010.0,1514.03,2063.98,2064.0,144.28571428571428,216.29
8,892.0,1768.53,1902.37,1902.0,111.5,221.06625
6,825.0,1692.73,1817.77,1818.0,137.5,282.12166666666667
8,1118.0,1758.52,1852.47,1852.0,139.75,219.815
8,1064.0,1756.52,1857.04,1857.0,133.0,219.565
6,811.0,1252.04,1771.8,1772.0,135.16666666666666,208.67333333333332
7,889.0,1417.96,1826.08,1826.0,127.0,202.56571428571428
9,1012.0,1429.04,1880.76,1881.0,112.44444444444444,158.78222222222223
6,909.0,1332.18,1720.21,1720.0,151.5,222.03
9,1096.0,1690.22,1894.85,1895.0,121.77777777777777,187.8022222222222
9,913.0,1021.29,1964.86,1965.0,101.44444444444444,113.47666666666666
6,1006.0,1219.71,1803.97,1804.0,167.66666666666666,203.285
6,907.0,1650.17,1737.86,1738.0,151.16666666666666,275.02833333333336
9,816.0,1171.81,1780.58,1781.0,90.66666666666667,130.20111111111112
7,1006.0,1181.33,2279.82,2280.0,143.71428571428572,168.76142857142855
6,835.0,1404.28,1765.79,1766.0,139.16666666666666,234.04666666666665
12,528.0,2476.41,1662.88,1663.0,44.0,206.36749999999998
4,69.0,2321.49,322.0,322.0,17.25,580.3725
11,1179.0,31.36,1550.55,1551.0,107.18181818181819,2.850909090909091
13,756.0,954.4,1793.07,1793.0,58.15384615384615,73.41538461538461
1,123.0,2076.65,1171.68,1172.0,123.0,2076.65
3,1162.0,2152.66,1434.71,1435.0,387.3333333333333,717.5533333333333
1,822.0,2170.53,1374.91,1375.0,822.0,2170.53
11,558.0,1549.86,1823.47,1823.0,50.72727272727273,140.89636363636362
2,753.0,1111.16,1353.87,1354.0,376.5,555.58
10,224.0,407.51,794.7,795.0,22.4,40.751
6,383.0,462.79,800.3,800.0,63.833333333333336,77.13166666666667
8,1005.0,1391.37,1987.39,1987.0,125.625,173.92125
10,1145.0,311.43,1366.61,1367.0,114.5,31.143
5,1004.0,2367.63,1743.85,1744.0,200.8,473.526
5,873.0,1402.35,1676.79,1677.0,174.6,280.46999999999997
2,165.0,1813.32,1273.45,1273.0,82.5,906.66
5,1076.0,190.33,879.65,880.0,215.2,38.066
12,986.0,2390.92,1760.0,1760.0,82.16666666666667,199.24333333333334
7,948.0,657.17,1578.97,1579.0,135.42857142857142,93.88142857142857
3,429.0,2400.13,1411.95,1412.0,143.0,800.0433333333334
4,362.0,646.43,788.53,789.0,90.5,161.6075
2,622.0,1871.56,1494.23,1494.0,311.0,935.78
1,140.0,255.99,150.34,150.0,140.0,255.99
8,123.0,612.55,851.24,851.0,15.375,76.56875
4,87.0,2463.92,1413.52,1414.0,21.75,615.98
10,164.0,1144.9,1516.43,1516.0,16.4,114.49000000000001
1,989.0,2196.84,1439.17,1439.0,989.0,2196.84
4,470.0,1968.63,1501.1,1501.0,117.5,492.1575
1,37.0,1397.17,1092.94,1093.0,37.0,1397.17
8,488.0,439.7,1030.13,1030.0,61.0,54.9625
12,757.0,897.4,1780.07,1780.0,63.083333333333336,74.78333333333333
14,958.0,1727.76,2065.16,2065.0,68.42857142857143,123.41142857142857
2,456.0,2390.7,1342.39,1342.0,228.0,1195.35
5,733.0,41.18,771.83,772.0,146.6,8.236
5,291.0,1279.7,1477.12,1477.0,58.2,255.94
10,478.0,2091.79,1568.41,1568.0,47.8,209.179
8,817.0,1455.73,1847.26,1847.0,102.125,181.96625
6,1043.0,1404.35,1807.42,1807.0,173.83333333333334,234.0583333333333
2,958.0,1855.58,1549.54,1550.0,479.0,927.79
9,524.0,474.75,935.4,935.0,58.22222222222222,52.75
6,45.0,81.59,522.58,523.0,7.5,13.598333333333334
8,342.0,2259.06,1502.02,1502.0,42.75,282.3825
12,379.0,1897.29,1682.98,1683.0,31.583333333333332,158.1075
6,333.0,1254.68,1585.02,1585.0,55.5,209.11333333333334
2,634.0,1739.81,1490.51,1491.0,317.0,869.905
5,285.0,974.73,1282.84,1283.0,57.0,194.946
12,33.0,1249.13,1707.38,1707.0,2.75,104.09416666666668
9,118.0,1285.82,1539.77,1540.0,13.11111111111111,142.86888888888888
1,420.0,2273.6,1220.35,1220.0,420.0,2273.6
11,312.0,2072.39,1586.22,1586.0,28.363636363636363,188.3990909090909
10,753.0,2054.02,1779.08,1779.0,75.3,205.402
5,125.0,96.38,570.99,571.0,25.0,19.276
6,597.0,888.84,1395.65,1396.0,99.5,148.14000000000001
12,1065.0,203.2,1408.25,1408.0,88.75,16.933333333333334
1,214.0,540.03,402.81,403.0,214.0,540.03
11,886.0,922.66,1852.24,1852.0,80.54545454545455,83.87818181818182
10,621.0,978.73,1656.28,1656.0,62.1,97.873
4,1000.0,2355.34,1699.56,1700.0,250.0,588.835
13,534.0,1765.96,1881.36,1881.0,41.07692307692308,135.84307692307692
6,475.0,1800.71,1671.23,1671.0,79.16666666666667,300.11833333333334
11,623.0,2265.21,1739.18,1739.0,56.63636363636363,205.92818181818183
1,620.0,973.91,1112.02,1112.0,620.0,973.91
13,1004.0,1757.75,1960.67,1961.0,77.23076923076923,135.21153846153845
8,962.0,1929.63,1897.19,1897.0,120.25,241.20375
14,516.0,1464.67,1842.1,1842.0,36.857142857142854,104.61928571428572
11,685.0,2272.75,1873.94,1874.0,62.27272727272727,206.61363636363637
3,307.0,266.21,540.97,541.0,102.33333333333333,88.73666666666666
3,375.0,1346.21,1339.93,1340.0,125.0,448.7366666666667
4,1124.0,2177.18,1567.43,1567.0,281.0,544.295
3,779.0,2110.9,1520.73,1521.0,259.6666666666667,703.6333333333333
8,1173.0,671.25,1419.34,1419.0,146.625,83.90625
14,47.0,1667.14,1745.18,1745.0,3.357142857142857,119.08142857142857
3,981.0,2008.83,1539.47,1539.0,327.0,669.61
5,516.0,1450.67,1547.5,1548.0,103.2,290.134
6,471.0,332.51,872.19,872.0,78.5,55.41833333333333
2,941.0,1565.77,1432.79,1433.0,470.5,782.885
10,377.0,301.96,837.36,837.0,37.7,30.195999999999998
7,273.0,285.83,793.58,794.0,39.0,40.832857142857144
1,458.0,834.7,737.28,737.0,458.0,834.7
11,772.0,932.31,1575.52,1576.0,70.18181818181819,84.75545454545454
11,36.0,1541.47,1593.24,1593.0,3.272727272727273,140.13363636363636
12,211.0,1048.29,1579.73,1580.0,17.583333333333332,87.3575
7,987.0,2164.1,1839.67,1840.0,141.0,309.15714285714284
9,662.0,2275.59,1599.27,1599.0,73.55555555555556,252.84333333333336
12,96.0,1164.37,1553.21,1553.0,8.0,97.03083333333332
5,569.0,1856.7,1623.81,1624.0,113.8,371.34000000000003
12,128.0,477.17,874.99,875.0,10.666666666666666,39.76416666666667
4,886.0,2401.28,1698.0,1698.0,221.5,600.32
13,19.0,807.27,1331.53,1332.0,1.4615384615384615,62.097692307692306
8,275.0,2347.09,1454.47,1454.0,34.375,293.38625
9,963.0,588.5,1434.42,1434.0,107.0,65.38888888888889
14,1056.0,2489.69,1894.16,1894.0,75.42857142857143,177.835
5,728.0,423.16,947.72,948.0,145.6,84.632
4,286.0,1063.49,418.17,418.0,71.5,265.8725
11,332.0,1352.48,1663.39,1663.0,30.181818181818183,122.95272727272727
12,49.0,1118.38,1494.81,1495.0,4.083333333333333,93.19833333333334
2,18.0,2503.46,1206.95,1207.0,9.0,1251.73
14,592.0,1268.36,1930.24,1930.0,42.285714285714285,90.59714285714286
3,892.0,171.32,875.39,875.0,297.3333333333333,57.10666666666666
11,741.0,1872.39,1847.08,1847.0,67.36363636363636,170.21727272727273
14,807.0,2358.41,1819.41,1819.0,57.642857142857146,168.45785714285714
5,873.0,1584.53,1796.7,1797.0,174.6,316.906
3,1159.0,2209.44,1434.84,1435.0,386.3333333333333,736.48
11,920.0,1338.65,1871.27,1871.0,83.63636363636364,121.69545454545455
1,388.0,390.7,332.06,332.0,388.0,390.7
9,576.0,1059.79,1547.5,1548.0,64.0,117.75444444444445
9,524.0,2367.12,1640.78,1641.0,58.22222222222222,263.0133333333333
10,459.0,2183.11,1559.59,1560.0,45.9,218.311
4,725.0,588.9,1097.95,1098.0,181.25,147.225
1,992.0,958.87,1222.41,1222.0,992.0,958.87
10,536.0,2194.42,1615.13,1615.0,53.6,219.442
11,1126.0,1593.03,2143.74,2144.0,102.36363636363636,144.82090909090908
10,314.0,1098.8,1539.1,1539.0,31.4,109.88
1,9.0,2246.28,1120.22,1120.0,9.0,2246.28
11,706.0,1508.23,2030.59,2031.0,64.18181818181819,137.1118181818182
10,976.0,2166.02,1775.03,1775.0,97.6,216.602
5,1028.0,653.19,1313.95,1314.0,205.6,130.638
8,1166.0,99.47,1149.07,1149.0,145.75,12.43375
12,882.0,1958.14,1944.88,1945.0,73.5,163.17833333333334
11,448.0,732.79,1090.35,1090.0,40.72727272727273,66.61727272727272
7,623.0,1691.39,1800.86,1801.0,89.0,241.62714285714287
3,127.0,293.49,303.2,303.0,42.333333333333336,97.83
12,218.0,486.02,1005.67,1006.0,18.166666666666668,40.501666666666665
3,1166.0,530.44,785.59,786.0,388.6666666666667,176.81333333333336
11,17.0,550.58,830.07,830.0,1.5454545454545454,50.052727272727275
9,696.0,1749.97,1649.49,1649.0,77.33333333333333,194.44111111111113
4,305.0,125.79,664.43,664.0,76.25,31.4475
12,104.0,1300.05,1779.92,1780.0,8.666666666666666,108.33749999999999
1,303.0,931.53,857.42,857.0,303.0,931.53
8,1012.0,2390.84,1732.12,1732.0,126.5,298.855
9,938.0,2224.29,1913.87,1914.0,104.22222222222223,247.14333333333332
3,471.0,288.19,535.67,536.0,157.0,96.06333333333333
5,72.0,977.67,1156.55,1157.0,14.4,195.534
10,160.0,2272.56,1642.15,1642.0,16.0,227.256
10,965.0,1851.28,1805.77,1806.0,96.5,185.128
3,266.0,2178.16,1447.95,1448.0,88.66666666666667,726.0533333333333
12,734.0,2491.82,1792.31,1792.0,61.166666666666664,207.65166666666667
12,64.0,1641.01,1710.72,1711.0,5.333333333333333,136.75083333333333
9,497.0,1845.08,1674.09,1674.0,55.22222222222222,205.0088888888889
3,781.0,1801.38,1586.21,1586.0,260.3333333333333,600.46
3,158.0,1070.74,1183.16,1183.0,52.666666666666664,356.91333333333336
3,1096.0,200.27,802.96,803.0,365.3333333333333,66.75666666666667
11,1116.0,2067.8,1987.44,1987.0,101.45454545454545,187.9818181818182
10,831.0,39.86,982.64,983.0,83.1,3.9859999999999998
14,124.0,1064.64,1761.68,1762.0,8.857142857142858,76.0457142857143
4,10.0,1262.73,1261.41,1261.0,2.5,315.6825
5,955.0,106.86,897.78,898.0,191.0,21.372
7,1176.0,2489.13,1921.16,1921.0,168.0,355.59000000000003
6,803.0,465.6,1012.0,1012.0,133.83333333333334,77.60000000000001
9,868.0,62.12,1022.81,1023.0,96.44444444444444,6.902222222222222
1,181.0,128.05,225.12,225.0,181.0,128.05
3,70.0,631.88,564.16,564.0,23.333333333333332,210.62666666666667
8,1090.0,419.76,1189.47,1189.0,136.25,52.47
14,1184.0,2269.89,1943.24,1943.0,84.57142857142857,162.135
1,735.0,1676.9,1365.21,1365.0,735.0,1676.9
2,547.0,119.09,509.52,510.0,273.5,59.545
11,265.0,218.66,949.34,949.0,24.09090909090909,19.87818181818182
10,223.0,886.32,1305.54,1306.0,22.3,88.632
12,959.0,1947.82,1833.24,1833.0,79.91666666666667,162.31833333333333
11,498.0,1578.39,1793.52,1794.0,45.27272727272727,143.49
14,127.0,988.4,1688.9,1689.0,9.071428571428571,70.6
3,621.0,214.08,779.66,780.0,207.0,71.36
6,1193.0,2241.5,1839.47,1839.0,198.83333333333334,373.5833333333333
4,448.0,2055.97,1497.46,1497.0,112.0,513.9925
8,466.0,2064.63,1558.12,1558.0,58.25,258.07875
12,229.0,1216.16,1696.65,1697.0,19.083333333333332,101.34666666666668
13,658.0,559.48,1573.12,1573.0,50.61538461538461,43.03692307692308
13,1034.0,2477.98,1842.24,1842.0,79.53846153846153,190.61384615384617
4,842.0,2464.29,1611.66,1612.0,210.5,616.0725
13,837.0,1218.93,1921.68,1922.0,64.38461538461539,93.76384615384616
11,927.0,1306.37,1804.68,1805.0,84.27272727272727,118.76090909090908
4,1047.0,1657.68,1605.84,1606.0,261.75,414.42
4,262.0,1681.28,1435.34,1435.0,65.5,420.32
7,1126.0,1103.75,2014.72,2015.0,160.85714285714286,157.67857142857142
5,781.0,672.91,1125.36,1125.0,156.2,134.582
5,831.0,591.65,1090.31,1090.0,166.2,118.33
7,1089.0,1026.25,2132.85,2133.0,155.57142857142858,146.60714285714286
1,793.0,2171.07,1421.36,1421.0,793.0,2171.07
9,368.0,495.12,847.33,847.0,40.888888888888886,55.013333333333335
6,818.0,1130.38,1704.06,1704.0,136.33333333333334,188.39666666666668
11,667.0,1915.95,1732.2,1732.0,60.63636363636363,174.17727272727274
2,267.0,2116.93,1349.04,1349.0,133.5,1058.465
10,1083.0,2105.36,1844.58,1845.0,108.3,210.536
13,529.0,1767.79,2015.18,2015.0,40.69230769230769,135.98384615384614
9,1155.0,1346.4,2248.12,2248.0,128.33333333333334,149.60000000000002
7,1185.0,1768.01,2072.18,2072.0,169.28571428571428,252.57285714285715
5,763.0,1420.94,1777.14,1777.0,152.6,284.188
7,368.0,1231.69,1550.04,1550.0,52.57142857142857,175.9557142857143
6,659.0,322.1,972.58,973.0,109.83333333333333,53.68333333333334
14,1138.0,518.18,1696.86,1697.0,81.28571428571429,37.012857142857136
6,172.0,1977.78,1603.89,1604.0,28.666666666666668,329.63
6,628.0,311.47,903.3,903.0,104.66666666666667,51.91166666666667
2,500.0,1246.48,1264.53,1265.0,250.0,623.24
8,7.0,2075.6,1422.12,1422.0,0.875,259.45
5,942.0,2092.87,1696.72,1697.0,188.4,418.57399999999996
12,81.0,2485.34,1589.65,1590.0,6.75,207.11166666666668
4,166.0,791.52,866.18,866.0,41.5,197.88
3,213.0,1724.85,1344.71,1345.0,71.0,574.9499999999999
11,1004.0,167.15,1175.65,1176.0,91.27272727272727,15.195454545454545
5,116.0,478.1,624.04,624.0,23.2,95.62
13,112.0,2299.56,1807.67,1808.0,8.615384615384615,176.88923076923078
1,43.0,2149.22,1134.47,1134.0,43.0,2149.22
2,660.0,1944.4,1531.2,1531.0,330.0,972.2
10,888.0,298.68,1171.54,1172.0,88.8,29.868000000000002
10,860.0,2380.76,1759.97,1760.0,86.0,238.07600000000002
10,1187.0,1981.09,2013.21,2013.0,118.7,198.10899999999998
12,1139.0,124.65,1314.3,1314.0,94.91666666666667,10.387500000000001
5,966.0,359.51,927.98,928.0,193.2,71.902
10,796.0,1352.08,2000.19,2000.0,79.6,135.208
9,72.0,1281.32,1515.54,1516.0,8.0,142.36888888888888
10,215.0,2440.91,1638.66,1639.0,21.5,244.09099999999998
7,671.0,1297.02,1703.2,1703.0,95.85714285714286,185.28857142857143
5,230.0,333.69,538.36,538.0,46.0,66.738
5,467.0,1243.31,1549.82,1550.0,93.4,248.66199999999998
13,247.0,2339.61,1705.9,1706.0,19.0,179.97
14,777.0,1248.61,1837.25,1837.0,55.5,89.18642857142856
11,740.0,1171.99,902.09,902.0,67.27272727272727,106.54454545454546
6,884.0,1798.31,1897.87,1898.0,147.33333333333334,299.7183333333333
5,789.0,1853.31,1792.88,1793.0,157.8,370.662
4,825.0,874.99,784.52,785.0,206.25,218.7475
2,301.0,769.23,731.28,731.0,150.5,384.615
12,1007.0,1353.77,1925.32,1925.0,83.91666666666667,112.81416666666667
5,865.0,644.79,1202.46,1202.0,173.0,128.958
14,81.0,1251.97,1682.62,1683.0,5.785714285714286,89.42642857142857
8,1159.0,2175.27,1752.18,1752.0,144.875,271.90875
11,496.0,373.98,1152.99,1153.0,45.09090909090909,33.99818181818182
1,752.0,1632.35,1362.39,1362.0,752.0,1632.35
5,1014.0,1853.57,1749.31,1749.0,202.8,370.714
9,686.0,145.66,972.95,973.0,76.22222222222223,16.184444444444445
5,654.0,1272.89,1724.68,1725.0,130.8,254.57800000000003
8,621.0,2391.34,1593.12,1593.0,77.625,298.9175
9,1080.0,539.51,1306.91,1307.0,120.0,59.94555555555556
10,714.0,269.06,1067.81,1068.0,71.4,26.906
10,816.0,1425.64,1872.81,1873.0,81.6,142.56400000000002
14,1122.0,1766.25,2239.35,2239.0,80.14285714285714,126.16071428571429
4,1202.0,1074.87,1501.24,1501.0,300.5,268.7175
5,651.0,1573.3,1682.08,1682.0,130.2,314.65999999999997
14,1100.0,237.69,1265.57,1266.0,78.57142857142857,16.977857142857143
14,296.0,485.68,924.9,925.0,21.142857142857142,34.691428571428574
1,697.0,2148.5,1421.07,1421.0,697.0,2148.5
6,1044.0,47.46,1133.45,1133.0,174.0,7.91
12,398.0,2481.44,1755.18,1755.0,33.166666666666664,206.78666666666666
3,139.0,2428.89,1345.66,1346.0,46.333333333333336,809.63
6,84.0,852.7,1109.32,1109.0,14.0,142.11666666666667
2,423.0,1639.17,1367.64,1368.0,211.5,819.585
11,815.0,2385.6,1872.44,1872.0,74.0909090909091,216.87272727272727
6,577.0,897.74,1257.31,1257.0,96.16666666666667,149.62333333333333
8,200.0,1508.89,1461.33,1461.0,25.0,188.61125
9,1102.0,540.6,1455.85,1456.0,122.44444444444444,60.06666666666667
12,508.0,1970.54,1770.91,1771.0,42.333333333333336,164.21166666666667
13,1024.0,1712.85,2097.69,2098.0,78.76923076923077,131.7576923076923
7,1161.0,1499.97,1862.45,1862.0,165.85714285714286,214.28142857142856
2,730.0,285.24,624.78,625.0,365.0,142.62
13,996.0,1809.2,1956.89,1957.0,76.61538461538461,139.16923076923078
5,1160.0,1901.83,1673.89,1674.0,232.0,380.366
2,1139.0,306.43,726.14,726.0,569.5,153.215
14,191.0,2442.76,1798.47,1798.0,13.642857142857142,174.48285714285717
7,776.0,2447.82,1826.93,1827.0,110.85714285714286,349.68857142857144
14,414.0,1919.7,1918.89,1919.0,29.571428571428573,137.12142857142857
7,847.0,1994.62,1851.7,1852.0,121.0,284.94571428571425
6,924.0,1227.21,1871.76,1872.0,154.0,204.535
2,933.0,1589.58,1489.99,1490.0,466.5,794.79
1,211.0,958.08,891.9,892.0,211.0,958.08
10,773.0,865.92,1837.11,1837.0,77.3,86.592
3,196.0,1211.68,1229.87,1230.0,65.33333333333333,403.8933333333334
14,49.0,954.02,1480.87,1481.0,3.5,68.14428571428572
5,477.0,655.24,935.38,935.0,95.4,131.048
5,828.0,1606.84,1690.82,1691.0,165.6,321.368
11,458.0,1364.29,1649.04,1649.0,41.63636363636363,124.02636363636363
3,289.0,1245.67,1279.31,1279.0,96.33333333333333,415.22333333333336
1,1060.0,501.67,658.14,658.0,1060.0,501.67
5,1085.0,2486.43,1664.83,1665.0,217.0,497.28599999999994
4,675.0,381.48,779.68,780.0,168.75,95.37
8,415.0,1214.97,1473.75,1474.0,51.875,151.87125
6,425.0,709.75,1114.9,1115.0,70.83333333333333,118.29166666666667
7,313.0,2408.02,1637.65,1638.0,44.714285714285715,344.0028571428571
13,235.0,426.07,897.26,897.0,18.076923076923077,32.77461538461539
7,635.0,1406.31,1630.66,1631.0,90.71428571428571,200.90142857142857
10,1009.0,2164.22,1889.87,1890.0,100.9,216.42199999999997
3,692.0,450.7,748.57,749.0,230.66666666666666,150.23333333333332
2,91.0,1073.76,1013.78,1014.0,45.5,536.88
8,1187.0,1045.91,2047.06,2047.0,148.375,130.73875
14,600.0,1120.05,1847.84,1848.0,42.857142857142854,80.00357142857142
5,210.0,710.49,483.34,483.0,42.0,142.098
12,10.0,1203.1,1564.9,1565.0,0.8333333333333334,100.25833333333333
1,452.0,275.05,282.89,283.0,452.0,275.05
4,256.0,2218.74,1476.03,1476.0,64.0,554.685
8,312.0,2383.17,1557.27,1557.0,39.0,297.89625
2,1175.0,816.2,1237.62,1238.0,587.5,408.1
