days,miles,receipts,output,output_per_receipt,receipts_times_days,output_per_receipts_days,adjusted_per_day_50,adjusted_per_day_60,adjusted_per_day_70,adjusted_per_day_80,adjusted_per_day_90,adjusted_per_day_100,adjusted_per_day_110,adjusted_per_day_120,adjusted_per_day_130,adjusted_per_day_140,adjusted_per_day_150,predicted,error,predicted_best,error_best,predicted_3comp,error_3comp
8,610.0,208.29,841.27,4.038936098708532,1666.32,0.5048670123385665,-1196.65375,-1457.01625,-1717.3787499999999,-1977.74125,-2238.1037499999998,-2498.46625,-2758.8287499999997,-3019.19125,-3279.55375,-3539.9162499999998,-3800.27875,26594.8,25753.53,11054.5,10213.23,15590.3,14749.029999999999
12,333.0,1103.21,1618.13,1.4667470381885588,13238.52,0.12222891984904657,-4461.864166666667,-5381.205833333334,-6300.5475,-7219.889166666667,-8139.230833333334,-9058.5725,-9977.914166666667,-10897.255833333335,-11816.597500000002,-12735.939166666665,-13655.280833333332,134785.2,133167.07,56120.5,54502.37,78157.7,76539.56999999999
8,435.0,1129.65,1525.26,1.3502058159606958,9037.2,0.16877572699508697,-6869.655000000001,-8281.7175,-9693.78,-11105.8425,-12517.905000000002,-13929.967500000002,-15342.030000000002,-16754.0925,-18166.155,-19578.2175,-20990.28,137158.0,135632.74,57122.50000000001,55597.240000000005,79910.5,78385.24
9,218.0,1203.45,1561.63,1.2976276538285763,10831.050000000001,0.14418085042539736,-6512.318888888889,-7849.485555555555,-9186.652222222221,-10523.818888888889,-11860.985555555555,-13198.152222222221,-14535.318888888889,-15872.485555555555,-17209.652222222223,-18546.818888888887,-19883.985555555555,146214.0,144652.37,60892.5,59330.87,84909.5,83347.87
12,781.0,1159.18,1752.72,1.5120343691230007,13910.16,0.1260028640935834,-4683.856666666667,-5649.84,-6615.823333333334,-7581.806666666667,-8547.79,-9513.773333333333,-10479.756666666666,-11445.74,-12411.723333333333,-13377.706666666667,-14343.69,141501.6,139748.88,58919.0,57166.28,82523.6,80770.88
11,916.0,1036.91,2098.07,2.0233867934536267,11406.01,0.1839442539503297,-4522.493636363637,-5465.1390909090915,-6407.784545454546,-7350.429999999999,-8293.075454545455,-9235.72090909091,-10178.366363636364,-11121.011818181818,-12063.657272727274,-13006.302727272729,-13948.948181818181,126629.20000000001,124531.13,52725.50000000001,50627.43000000001,74049.70000000001,71951.63
10,358.0,2066.62,1624.11,0.7858774230385848,20666.199999999997,0.07858774230385848,-10170.689,-12237.309,-14303.929,-16370.548999999999,-18437.169,-20503.789,-22570.409,-24637.029000000002,-26703.648999999998,-28770.269,-30836.889000000003,249994.4,248370.29,104131.0,102506.89,145521.4,143897.29
12,566.0,2013.7,1752.03,0.8700551224114813,24164.4,0.0725045935342901,-8244.414166666667,-9922.4975,-11600.580833333333,-13278.664166666667,-14956.7475,-16634.830833333333,-18312.914166666666,-19990.9975,-21669.080833333333,-23347.164166666666,-25025.247499999998,244044.0,242291.97,101645.0,99892.97,142125.0,140372.97
9,954.0,1483.39,2024.2,1.3645770835720883,13350.51,0.15161967595245426,-8016.144444444445,-9664.355555555558,-11312.566666666668,-12960.77777777778,-14608.988888888889,-16257.199999999999,-17905.411111111112,-19553.622222222224,-21201.833333333332,-22850.044444444444,-24498.25555555556,179806.80000000002,177782.6,74889.5,72865.3,105241.3,103217.1
9,534.0,1929.94,1624.87,0.8419277283231602,17369.46,0.09354752536924003,-10541.347777777779,-12685.725555555557,-14830.103333333336,-16974.481111111112,-19118.85888888889,-21263.236666666668,-23407.614444444444,-25551.992222222223,-27696.370000000003,-29840.747777777782,-31985.125555555554,233392.80000000002,231767.93000000002,97217.0,95592.13,136079.80000000002,134454.93000000002
12,765.0,1343.97,1953.03,1.4531797584767516,16127.64,0.12109831320639598,-5437.1225,-6557.0975,-7677.072500000001,-8797.0475,-9917.022500000001,-11036.9975,-12156.972500000002,-13276.9475,-14396.9225,-15516.897500000001,-16636.8725,163676.4,161723.37,68158.5,66205.47,95442.90000000001,93489.87000000001
8,630.0,967.69,1388.05,1.4343953125484399,7741.52,0.17929941406855499,-5874.55625,-7084.16875,-8293.78125,-9503.393750000001,-10713.00625,-11922.61875,-13132.23125,-14341.84375,-15551.456250000001,-16761.068750000002,-17970.68125,117722.8,116334.75,49024.5,47636.45,68768.3,67380.25
10,909.0,696.0,1505.19,2.1626293103448275,6960.0,0.21626293103448277,-3329.4809999999998,-4025.4809999999998,-4721.481,-5417.481,-6113.481,-6809.481,-7505.481,-8201.481,-8897.481,-9593.481,-10289.481,85520.0,84014.81,35600.0,34094.81,50129.0,48623.81
10,223.0,745.89,1037.45,1.390888736945126,7458.9,0.13908887369451262,-3625.7050000000004,-4371.595,-5117.485,-5863.375,-6609.265000000001,-7355.155000000001,-8101.045,-8846.935000000001,-9592.825,-10338.715,-11084.605,91506.8,90469.35,38094.5,37057.05,52935.299999999996,51897.85
8,467.0,1178.71,1483.33,1.2584350688464507,9429.68,0.15730438360580634,-7181.52125,-8654.90875,-10128.29625,-11601.68375,-13075.07125,-14548.45875,-16021.84625,-17495.233750000003,-18968.621250000004,-20442.00875,-21915.39625,143045.2,141561.87000000002,59575.5,58092.17,83376.7,81893.37
9,708.0,461.07,1110.6,2.4087448760491896,4149.63,0.2676383195610211,-2438.1000000000004,-2950.4,-3462.7,-3975.0,-4487.3,-4999.6,-5511.9,-6024.200000000001,-6536.5,-7048.799999999999,-7561.099999999999,57128.4,56017.8,23773.5,22662.9,33432.899999999994,32322.299999999996
9,885.0,1764.97,1694.37,0.959999320101758,15884.73,0.10666659112241757,-9617.125555555556,-11578.203333333333,-13539.281111111113,-15500.35888888889,-17461.436666666665,-19422.514444444445,-21383.592222222225,-23344.67,-25305.74777777778,-27266.82555555556,-29227.903333333335,213596.4,211902.03,88968.5,87274.13,124882.90000000001,123188.53000000001
6,855.0,591.35,1339.72,2.26552802908599,3548.1000000000004,0.3775880048476649,-4704.63,-5690.213333333333,-6675.796666666666,-7661.38,-8646.963333333333,-9632.546666666667,-10618.13,-11603.713333333333,-12589.296666666667,-13574.88,-14560.463333333333,72162.0,70822.28,30047.5,28707.78,42549.5,41209.78
2,993.0,54.24,715.19,13.185656342182892,108.48,6.592828171091446,-998.405,-1269.605,-1540.805,-1812.0049999999999,-2083.205,-2354.4049999999997,-2625.6050000000005,-2896.8050000000003,-3168.005,-3439.205,-3710.4049999999997,6908.8,6193.610000000001,2872.0,2156.81,4889.8,4174.610000000001
5,685.0,747.14,1216.36,1.62802152207083,3735.7,0.325604304414166,-7228.128,-8722.408,-10216.687999999998,-11710.967999999999,-13205.248000000001,-14699.528,-16193.807999999999,-17688.088,-19182.368,-20676.647999999997,-22170.928,90656.8,89440.44,37757.0,36540.64,53234.799999999996,52018.439999999995
3,981.0,341.45,813.95,2.3838043637428616,1024.35,0.7946014545809539,-5419.516666666666,-6557.683333333333,-7695.849999999999,-8834.016666666666,-9972.183333333332,-11110.35,-12248.516666666668,-13386.683333333334,-14524.85,-15663.016666666668,-16801.183333333334,41574.0,40760.05,17312.5,16498.55,25032.5,24218.55
5,770.0,873.33,1502.49,1.7204149634158907,4366.650000000001,0.34408299268317816,-8432.802,-10179.462000000001,-11926.122000000001,-13672.782000000001,-15419.442,-17166.102,-18912.762,-20659.422,-22406.082000000002,-24152.742000000002,-25899.402,105799.6,104297.11,44066.5,42564.01,62153.100000000006,60650.61000000001
6,697.0,651.64,1237.71,1.8993769566018048,3909.84,0.3165628261003008,-5224.048333333333,-6310.115000000001,-7396.181666666666,-8482.248333333333,-9568.315,-10654.381666666666,-11740.448333333332,-12826.515,-13912.581666666665,-14998.64833333333,-16084.714999999998,79396.8,78159.09,33062.0,31824.29,46611.799999999996,45374.09
3,795.0,450.85,743.94,1.6500831762226904,1352.5500000000002,0.5500277254075635,-7266.186666666667,-8769.02,-10271.853333333334,-11774.686666666666,-13277.519999999999,-14780.353333333333,-16283.186666666666,-17786.02,-19288.853333333333,-20791.686666666665,-22294.52,54702.0,53958.06,22782.5,22038.56,32504.5,31760.56
3,606.0,1184.23,1364.54,1.152259273958606,3552.69,0.38408642465286863,-19282.32,-23229.753333333338,-27177.186666666672,-31124.62,-35072.05333333334,-39019.48666666667,-42966.920000000006,-46914.35333333333,-50861.78666666666,-54809.22,-58756.65333333333,142707.6,141343.06,59451.5,58086.96,83652.1,82287.56000000001
3,842.0,865.37,1251.14,1.4457861955001907,2596.11,0.4819287318333969,-14005.786666666667,-16890.353333333333,-19774.920000000002,-22659.486666666668,-25544.053333333333,-28428.62,-31313.186666666665,-34197.753333333334,-37082.32,-39966.886666666665,-42851.45333333333,104444.4,103193.26,43508.5,42257.36,61567.9,60316.76
7,748.0,241.73,971.31,4.018160757870351,1692.11,0.5740229654100502,-1587.8842857142859,-1933.212857142857,-2278.5414285714282,-2623.8699999999994,-2969.1985714285715,-3314.5271428571427,-3659.855714285714,-4005.184285714285,-4350.512857142857,-4695.841428571429,-5041.17,30407.6,29436.289999999997,12646.5,11675.19,18019.1,17047.789999999997
7,624.0,148.16,905.79,6.113593412526998,1037.12,0.8733704875038569,-928.8871428571429,-1140.5442857142857,-1352.2014285714286,-1563.8585714285712,-1775.5157142857145,-1987.172857142857,-2198.8300000000004,-2410.4871428571428,-2622.1442857142856,-2833.801428571428,-3045.4585714285713,19179.2,18273.41,7968.0,7062.21,11345.199999999999,10439.41
2,713.0,740.33,1048.28,1.4159631515675442,1480.66,0.7079815757837721,-17984.11,-21685.760000000002,-25387.410000000003,-29089.06,-32790.71,-36492.36,-40194.01,-43895.66,-47597.310000000005,-51298.96000000001,-55000.61,89239.6,88191.32,37176.5,36128.22,52636.100000000006,51587.82000000001
3,874.0,1191.4,1515.99,1.2724441833137485,3574.2000000000003,0.4241480611045828,-19351.33666666667,-23322.67,-27294.00333333333,-31265.336666666666,-35236.670000000006,-39208.003333333334,-43179.33666666667,-47150.670000000006,-51122.003333333334,-55093.33666666667,-59064.670000000006,143568.0,142052.01,59810.00000000001,58294.01000000001,84422.0,82906.01
6,761.0,530.19,1120.1,2.1126388653124346,3181.1400000000003,0.35210647755207247,-4231.5666666666675,-5115.216666666667,-5998.866666666668,-6882.516666666667,-7766.166666666668,-8649.816666666668,-9533.466666666669,-10417.116666666667,-11300.766666666668,-12184.416666666666,-13068.066666666668,64822.8,63702.700000000004,26989.500000000004,25869.400000000005,38174.3,37054.200000000004
1,815.0,97.89,539.36,5.5098580038819085,97.89,5.5098580038819085,-4355.14,-5334.04,-6312.9400000000005,-7291.84,-8270.74,-9249.64,-10228.539999999999,-11207.439999999999,-12186.34,-13165.24,-14144.14,11946.8,11407.439999999999,4974.5,4435.14,7717.3,7177.9400000000005
1,601.0,497.7,644.12,1.294193289129998,497.7,1.294193289129998,-24240.88,-29217.88,-34194.88,-39171.88,-44148.88,-49125.88,-54102.88,-59079.88,-64056.88,-69033.88,-74010.88,59924.0,59279.88,24965.0,24320.88,35490.0,34845.88
7,817.0,1127.87,1809.91,1.6047150824119802,7895.089999999999,0.22924501177314005,-7797.655714285713,-9408.89857142857,-11020.141428571427,-12631.384285714284,-14242.62714285714,-15853.869999999997,-17465.112857142853,-19076.355714285713,-20687.598571428567,-22298.841428571428,-23910.08428571428,136744.4,134934.49,56953.49999999999,55143.58999999999,80117.9,78307.98999999999
1,606.0,923.0,1050.05,1.1376489707475623,923.0,1.1376489707475623,-45099.95,-54329.95,-63559.95,-72789.95,-82019.95,-91249.95,-100479.95,-109709.95,-118939.95,-128169.95,-137399.95,110960.0,109909.95,46230.0,45179.95,65266.0,64215.95
1,909.0,741.82,866.07,1.1674934620258284,741.82,1.1674934620258284,-36224.93,-43643.130000000005,-51061.33,-58479.530000000006,-65897.73,-73315.93,-80734.13,-88152.33,-95570.53,-102988.73,-110406.93000000001,89218.40000000001,88352.33,37171.0,36304.93,52886.4,52020.33
3,624.0,1160.92,1459.34,1.2570547496812872,3482.76,0.41901824989376235,-18862.22,-22731.95333333334,-26601.686666666672,-30471.420000000002,-34341.153333333335,-38210.886666666665,-42080.62,-45950.35333333334,-49820.08666666667,-53689.82000000001,-57559.55333333334,139910.40000000002,138451.06000000003,58286.0,56826.66,82038.40000000001,80579.06000000001
4,650.0,619.49,676.38,1.0918336050622286,2477.96,0.27295840126555715,-7574.53,-9123.255000000001,-10671.980000000001,-12220.705,-13769.43,-15318.155,-16866.879999999997,-18415.605,-19964.329999999998,-21513.055,-23061.78,75138.8,74462.42,31294.5,30618.12,44214.3,43537.920000000006
6,204.0,818.99,628.4,0.7672865358551386,4913.9400000000005,0.12788108930918976,-6720.183333333333,-8085.166666666667,-9450.15,-10815.133333333333,-12180.116666666669,-13545.1,-14910.083333333334,-16275.066666666668,-17640.05,-19005.033333333336,-20370.016666666666,99478.8,98850.40000000001,41429.5,40801.1,57833.3,57204.9
1,263.0,396.49,198.42,0.5004413730485006,396.49,0.5004413730485006,-19626.08,-23590.980000000003,-27555.88,-31520.780000000002,-35485.68,-39450.58,-43415.48,-47380.380000000005,-51345.280000000006,-55310.18,-59275.08,47778.8,47580.380000000005,19904.5,19706.08,28067.3,27868.88
1,451.0,555.49,162.18,0.29195845109722945,555.49,0.29195845109722945,-27612.32,-33167.22,-38722.12,-44277.02,-49831.92,-55386.82,-60941.72,-66496.62000000001,-72051.52,-77606.42000000001,-83161.32,66858.8,66696.62000000001,27854.5,27692.32,39385.3,39223.12
10,424.0,474.99,831.96,1.7515316111918147,4749.9,0.17515316111918147,-2291.754,-2766.744,-3241.7340000000004,-3716.7239999999997,-4191.714,-4666.704,-5141.694,-5616.684,-6091.674000000001,-6566.664,-7041.6539999999995,58998.8,58166.840000000004,24549.5,23717.54,34173.3,33341.340000000004
2,565.0,389.49,415.96,1.067960666512619,778.98,0.5339803332563094,-9529.27,-11476.720000000001,-13424.17,-15371.62,-17319.07,-19266.52,-21213.97,-23161.420000000002,-25108.870000000003,-27056.32,-29003.77,47138.8,46722.840000000004,19634.5,19218.54,27929.3,27513.34
9,397.0,348.49,913.29,2.6207064765129555,3136.41,0.29118960850143955,-1834.5788888888887,-2221.79,-2609.0011111111107,-2996.2122222222224,-3383.4233333333336,-3770.6344444444444,-4157.845555555556,-4545.056666666667,-4932.267777777778,-5319.478888888889,-5706.69,43618.8,42705.51,18144.5,17231.21,25241.3,24328.01
1,532.0,413.99,355.57,0.8588854803256117,413.99,0.8588854803256117,-20343.93,-24483.83,-28623.73,-32763.629999999997,-36903.53,-41043.43,-45183.33,-49323.23,-53463.130000000005,-57603.03,-61742.93,49878.8,49523.23,20779.5,20423.93,29561.3,29205.73
